table,rows_in,rows_out,rejected,timestamp,runtime_s
companies,92,92,0,2026-07-07 15:39:24,0.9858
profitandloss,1276,1164,112,2026-07-07 15:39:24,0.2915
balancesheet,1312,1140,172,2026-07-07 15:39:24,0.2397
cashflow,1187,1056,131,2026-07-07 15:39:26,1.9854
analysis,20,4,16,2026-07-07 15:39:26,0.0763
documents,1585,1456,129,2026-07-07 15:39:27,0.1476
prosandcons,16,14,2,2026-07-07 15:39:27,0.0595
sectors,92,92,0,2026-07-07 15:39:27,0.0587
stock_prices,5520,5520,0,2026-07-07 15:39:27,0.421
market_cap,552,552,0,2026-07-07 15:39:27,0.0659
