[ANOMALY] Company: TCS | Year: 2013 | Metric: ROE | Engine: 36.52% | Source Ref: 0.52% | Category: data source issue
[ANOMALY] Company: TCS | Year: 2014 | Metric: ROE | Engine: 39.3% | Source Ref: 0.52% | Category: data source issue
[ANOMALY] Company: TCS | Year: 2015 | Metric: ROE | Engine: 39.62% | Source Ref: 0.52% | Category: data source issue
[ANOMALY] Company: TCS | Year: 2016 | Metric: ROE | Engine: 34.24% | Source Ref: 0.52% | Category: data source issue
[ANOMALY] Company: TCS | Year: 2017 | Metric: ROE | Engine: 30.57% | Source Ref: 0.52% | Category: data source issue
[ANOMALY] Company: TCS | Year: 2018 | Metric: ROE | Engine: 30.4% | Source Ref: 0.52% | Category: data source issue
[ANOMALY] Company: TCS | Year: 2019 | Metric: ROE | Engine: 35.29% | Source Ref: 0.52% | Category: data source issue
[ANOMALY] Company: TCS | Year: 2020 | Metric: ROE | Engine: 38.57% | Source Ref: 0.52% | Category: data source issue
[ANOMALY] Company: TCS | Year: 2021 | Metric: ROE | Engine: 37.67% | Source Ref: 0.52% | Category: data source issue
[ANOMALY] Company: TCS | Year: 2022 | Metric: ROE | Engine: 43.13% | Source Ref: 0.52% | Category: data source issue
[ANOMALY] Company: TCS | Year: 2023 | Metric: ROE | Engine: 46.78% | Source Ref: 0.52% | Category: data source issue
[ANOMALY] Company: TCS | Year: 2024 | Metric: ROE | Engine: 50.94% | Source Ref: 0.52% | Category: data source issue
